t,roll_true_deg,pitch_true_deg,yaw_true_deg,gx_rad_s,gy_rad_s,gz_rad_s,ax_g,ay_g,az_g,mx,my,mz,temp_c
23.36,-119.14677430397896,-68.36510957475221,-177.6381004747805,-0.3499702708511495,0.24998692644469164,0.4542623332772166,-0.9536203083764421,0.3255679233052501,0.1757818909455413,-0.7220555815791542,-0.6681389560685893,-0.281565214940151,29.5998422669357
23.37,-118.72072379764495,-68.20901047127103,-178.31886264773817,-0.349202223384001,0.2498492728325374,0.4551221087613158,-0.9214811716448825,0.2949593916767593,0.16991360976722023,-0.7019735470125201,-0.6518681569447827,-0.28386240343721764,29.60082167292453
23.38,-118.30210411714857,-68.05115740560922,-178.99443196133657,-0.35670613595207334,0.2504221299410252,0.45664907136891686,-0.9146028987669448,0.33387761110598163,0.18488471709123303,-0.6909344076962799,-0.6411465072234737,-0.2653569844266149,29.601799928707962
23.39,-117.89087337649619,-67.89157773394375,-179.66484446920143,-0.36167857158532934,0.246901414932611,0.4569433309405383,-0.9298572627224722,0.35453369555202574,0.1591066272034822,-0.7109106824932168,-0.6412321582061408,-0.28608542298619855,29.602777034041438
23.400000000000002,-117.48698717725546,-67.73029871323484,179.6698613152772,-0.36366408393319727,0.2535360180068879,0.4607685969800736,-0.9023740680305269,0.3366795382202869,0.16267337923806513,-0.6967935183363544,-0.6518852506501898,-0.27352206119054223,29.60375298868068
23.41,-117.09039877279237,-67.56734748826722,179.00964458294175,-0.3629732952802815,0.2580169925494244,0.4603667328082677,-0.9560160644299525,0.32414503311052656,0.17838106036081358,-0.7208768721353668,-0.6400491199720509,-0.2896620556018776,29.604727792381695
23.42,-116.70105922769373,-67.40275107967562,178.35446238806358,-0.3701959741362716,0.25244032112582443,0.4615158018867032,-0.915505126514439,0.33954071288691234,0.18332661073279177,-0.7151155992536696,-0.6193324182437853,-0.2986605898311105,29.60570144490079
23.43,-116.31891757222515,-67.23653637291835,177.70426980258736,-0.36952507333165846,0.25223390054589634,0.4610200601218391,-0.9280780020314794,0.33393300376359003,0.18892852497547233,-0.7090845376275411,-0.6484226790357547,-0.2974198380256158,29.606673945994547
23.44,-115.94392095170444,-67.06873010816135,177.05902006530496,-0.37465697478373805,0.25674692851829495,0.4582475817373944,-0.9448315274677678,0.34529813264731485,0.16779592506667737,-0.7118780111963885,-0.6213380383811887,-0.3195949402717406,29.607645295419843
23.45,-115.57601477070524,-66.89935887103442,176.41866472587265,-0.37878948173918436,0.25946902244298115,0.4585995024248495,-0.943659715742405,0.36327464219772526,0.17607554505008288,-0.7161156327434732,-0.626950145077732,-0.3117244026983891,29.608615492933836
23.46,-115.21514283203057,-66.72844908422314,175.78315378361265,-0.3861988534240613,0.2590387664335014,0.46174354082931596,-0.9147073729453725,0.33301085266078057,0.15245219689321657,-0.7271349257979949,-0.6056801880605209,-0.32602318078226983,29.60958453829398
